Iteration	end_1	end_2	end_3	end_4	end_5	end_6	end_7	end_8	end_9	end_10	end_11	end_12	end_13	end_14	end_15	end_16	end_17	end_18	end_19	end_20	end_21	end_22	end_23	end_24	end_25	end_26	end_27	end_28	end_29	end_30	end_31	end_32	end_33	end_34	end_35	end_36	end_37	end_38	end_39	end_40	end_41	end_42	end_43	end_44	end_45	end_46	end_47	end_48	end_49	end_50	end_51	end_52	end_53	end_54	end_55	end_56	end_57	end_58	end_59	end_60	end_61	end_62	end_63	end_64	end_65	end_66	end_67	end_68	end_69	end_70	end_71	end_72	end_73	end_74	end_75	end_76	end_77	end_78	end_79	end_80	end_81	end_82	end_83	end_84	end_85	end_86	end_87	end_88	end_89	end_90	end_91	end_92	end_93	end_94	end_95	end_96	end_97	end_98	end_99	end_100	end_101	end_102	end_103	end_104	end_105	end_106	end_107	end_108	end_109	end_110	end_111
118000	1	1	1	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	1	1	1	1	0	0	1	0	1	1	0	1	1	0	0	1	1	1	1	0	0	0	0	0	1	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	0	1	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
119000	1	1	1	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	1	1	1	1	0	0	1	0	1	1	0	1	1	0	0	1	1	1	1	0	0	0	0	0	1	1	0	0	0	1	0	0	1	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	1	1	0	0	1	1	1	1	1	0	1	1	1	0	0	0	0	0	0	0	0
120000	1	1	1	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	1	1	1	1	0	0	1	0	1	1	0	1	1	0	0	1	1	1	1	0	0	0	0	0	1	1	0	1	0	0	0	1	1	1	0	1	0	0	0	0	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	1	1	0	0	1	1	0	0	1	0	0	0	0	0
121000	1	1	1	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	1	1	1	1	0	0	1	0	1	1	0	1	1	0	0	1	1	1	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	1	0	1	1	0	0	0	1	0	0	1	1	0	1	1	0	1	0	0	0	0	0	0	1	1	0	0	1	1	1	0	1	0	0	1	1	0	0	0	0	0	0	0	0
122000	1	1	1	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	1	1	1	1	0	0	1	0	1	1	0	1	1	0	0	1	1	1	1	0	0	0	0	0	1	1	1	1	0	0	0	1	0	0	1	0	1	0	0	0	0	0	1	1	0	1	1	0	0	0	0	0	1	0	0	0	0	0	1	1	0	1	1	1	1	1	1	1	0	1	1	0	0	1	0	0	0	0	0
123000	1	1	1	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	1	1	1	1	0	0	1	0	1	1	0	1	1	0	0	1	1	1	1	0	0	0	0	0	1	0	1	0	0	1	0	1	0	0	1	1	0	1	0	0	0	0	1	0	0	0	1	0	0	1	1	0	1	0	0	0	0	1	1	1	0	1	1	1	0	1	1	0	1	1	1	0	0	0	0	1	0	0	0
124000	1	1	1	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	1	1	1	1	0	0	1	0	1	1	0	1	1	0	0	1	1	1	1	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	1	0	1	0	1	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	1	1	1	1	1	0	1	0	0	0	1	0	0	0	0	0	0
125000	1	1	1	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	1	1	1	1	0	0	1	0	1	1	0	1	1	0	0	1	1	1	1	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	1	0	0	1	1	0	1	0	0	1	1	0	1	0	0	0	1	0	0	0
126000	1	1	1	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	1	1	1	1	0	0	1	0	1	1	0	1	1	0	0	1	1	1	1	0	0	0	0	0	1	1	1	1	0	0	0	1	0	0	0	0	1	0	1	1	0	1	1	1	0	0	1	0	0	0	1	0	1	0	0	0	0	0	1	1	0	0	1	1	1	1	0	0	1	1	0	0	0	0	0	1	0	0	0
127000	1	1	1	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	1	1	1	1	0	0	1	0	1	1	0	1	1	0	0	1	1	1	1	0	0	0	0	0	1	1	0	0	0	1	0	0	1	0	0	1	0	1	1	1	0	1	1	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	1	1	0	0	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
128000	1	1	1	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	1	1	1	1	0	0	1	0	1	1	0	1	1	0	0	1	1	1	1	0	0	0	0	0	1	1	0	1	0	1	1	0	1	0	0	1	0	0	1	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	1	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0
129000	1	1	1	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	1	1	1	1	0	0	1	0	1	1	0	1	1	0	0	1	1	1	1	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	1	0	1	0	1	0	0	0	1	0	0	1	1	0	0	0	1	0	1	0	0	1	0	0	1	1	0	0	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
130000	1	1	1	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	1	1	1	1	0	0	1	0	1	1	0	1	1	0	0	1	1	1	1	0	0	0	0	0	1	1	0	1	0	1	0	0	1	0	0	0	1	0	1	0	0	1	1	0	0	0	1	0	0	1	0	1	0	0	0	0	0	1	1	1	0	0	1	1	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0
131000	1	1	1	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	1	1	1	1	0	0	1	0	1	1	0	1	1	0	0	1	1	1	1	0	0	0	0	0	1	1	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	1	1	1	1	1	0	0	0	1	0	0	0	0	0	0	0	1
132000	1	1	1	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	1	1	1	1	0	0	1	0	1	1	0	1	1	0	0	1	1	1	1	0	0	0	0	0	1	0	1	1	0	1	0	0	1	0	0	0	1	0	1	0	0	0	1	1	0	1	0	1	0	0	0	1	0	0	0	1	0	0	1	1	0	0	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
133000	1	1	1	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	1	1	1	1	0	0	1	0	1	1	0	1	1	0	0	1	1	1	1	0	0	0	0	0	1	1	1	1	0	0	0	1	0	0	0	0	1	0	1	0	1	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	1	1	1	1	1	0	0	1	0	0	0	1	0	0	1	0	1
134000	1	1	1	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	1	1	1	1	0	0	1	0	1	1	0	1	1	0	0	1	1	1	1	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	1	1	0	0	1	0	0	0	1	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	1	0	1	1	1	1	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0
135000	1	1	1	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	1	1	1	1	0	0	1	0	1	1	0	1	1	0	0	1	1	1	1	0	0	0	0	0	1	0	1	1	0	0	0	1	0	0	1	1	0	1	1	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	1	1	0	0	1	1	0	1	1	1	0	1	1	0	0	0	0	0	0	0	0
136000	1	1	1	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	1	1	1	1	0	0	1	0	1	1	0	1	1	0	0	1	1	1	1	0	0	0	0	0	1	1	0	1	0	0	0	1	0	0	1	0	1	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	1	0	1	1	0	1	1	0	0	1	1	1	0	1	0	0	0	0	0
137000	1	1	1	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	1	1	1	1	0	0	1	0	1	1	0	1	1	0	0	1	1	1	1	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	1	0	1	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	1	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0
138000	1	1	1	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	1	1	1	1	0	0	1	0	1	1	0	1	1	0	0	1	1	1	1	0	0	0	0	0	1	0	1	0	0	1	0	0	1	0	0	0	1	0	1	1	0	1	1	0	0	0	1	0	0	0	1	0	1	0	0	0	0	1	1	1	1	0	1	1	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0
139000	1	1	1	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	1	1	1	1	0	0	1	0	1	1	0	1	1	0	0	1	1	1	1	0	0	0	0	0	1	0	1	1	0	1	0	1	0	0	1	1	0	0	0	1	0	0	1	0	0	0	1	0	0	1	0	1	0	0	0	0	0	1	1	1	0	0	1	1	0	1	0	0	1	0	1	0	1	0	0	0	0	0	0
140000	1	1	1	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	1	1	1	1	0	0	1	0	1	1	0	1	1	0	0	1	1	1	1	0	0	0	0	0	1	0	1	0	0	1	0	0	1	0	1	0	0	1	1	0	0	0	1	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	1	1	0	1	1	1	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0
141000	1	1	1	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	1	1	1	1	0	0	1	0	1	1	0	1	1	0	0	1	1	1	1	0	0	0	0	0	1	0	1	1	0	0	0	1	0	0	1	1	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0
142000	1	1	1	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	1	1	1	1	0	0	1	0	1	1	0	1	1	0	0	1	1	1	1	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	1	1	0	1	1	0	0	0	1	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	1	1	0	0	1	1	0	1	1	1	0	1	1	0	0	1	0	0	0	1	0
143000	1	1	1	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	1	1	1	1	0	0	1	0	1	1	0	1	1	0	0	1	1	1	1	0	0	0	0	0	1	1	0	1	0	0	0	1	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	1	1	1	1	0	1	0	1	0	0	0	0	0	0	0	0
144000	1	1	1	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	1	1	1	1	0	0	1	0	1	1	0	1	1	0	0	1	1	1	1	0	0	0	0	0	1	1	1	0	0	1	0	0	1	0	0	1	0	1	1	0	0	1	1	1	0	0	1	0	0	0	0	0	1	0	0	1	0	1	1	1	1	0	1	1	0	1	1	0	1	0	1	0	0	0	0	0	0	0	0
145000	1	1	1	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	1	1	1	1	0	0	1	0	1	1	0	1	1	0	0	1	1	1	1	0	0	0	0	0	1	0	1	0	0	1	1	0	1	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0
146000	1	1	1	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	1	1	1	1	0	0	1	0	1	1	0	1	1	0	0	1	1	1	1	0	0	0	0	0	1	1	0	1	0	0	0	1	0	0	1	1	0	0	1	0	0	0	1	0	0	1	1	0	0	0	1	0	1	0	0	1	0	0	1	1	0	0	1	1	0	1	0	0	1	0	0	0	0	1	0	0	0	0	1
147000	1	1	1	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	1	1	1	1	0	0	1	0	1	1	0	1	1	0	0	1	1	1	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	1	1	0	0	0	1	1	1	0	0	1	1	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0
148000	1	1	1	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	1	1	1	1	0	0	1	0	1	1	0	1	1	0	0	1	1	1	1	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	1	0	0	0	1	1	0	0	1	0	0	1	1	0	0	1	0	1	0	0	0	0	0	0	1	0	1	0	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
149000	1	1	1	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	1	1	1	1	0	0	1	0	1	1	0	1	1	0	0	1	1	1	1	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	1	1	0	1	1	0	0	0	1	1	0	0	1	0	1	0	0	1	0	0	0	0	0	0	1	1	0	1	1	1	0	1	1	0	1	1	1	0	0	0	0	0	0	0	0
150000	1	1	1	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	1	1	1	1	0	0	1	0	1	1	0	1	1	0	0	1	1	1	1	0	0	0	0	0	1	1	1	1	0	0	0	1	0	0	1	1	0	1	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	1	1	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0
